semantic_candidate_name,exact_dungeondraft_uri,asset_kind,compatible_mcp_operations,source,original_dungeondraft_category,original_dungeondraft_tags,dimensions_or_scale,discovery_status,validation_status
"Atlas Globe 01","res://textures/objects/activities/administration/atlas_globe_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Atlas Globe 02","res://textures/objects/activities/administration/atlas_globe_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Atlas Globe Gigant 03","res://textures/objects/activities/administration/atlas_globe_gigant_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Book 01","res://textures/objects/activities/administration/book_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Book 02","res://textures/objects/activities/administration/book_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Book 03","res://textures/objects/activities/administration/book_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Book 04","res://textures/objects/activities/administration/book_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Book 05","res://textures/objects/activities/administration/book_05.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Book 06","res://textures/objects/activities/administration/book_06.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Candle 01","res://textures/objects/activities/administration/candle_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Candle 02","res://textures/objects/activities/administration/candle_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Candle Holder 02","res://textures/objects/activities/administration/candle_holder_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Cloth 01","res://textures/objects/activities/administration/cloth_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Cloth 02","res://textures/objects/activities/administration/cloth_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Envelope 01","res://textures/objects/activities/administration/envelope_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Envelope 02","res://textures/objects/activities/administration/envelope_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Envelope 03","res://textures/objects/activities/administration/envelope_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Inker","res://textures/objects/activities/administration/inker.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Map 01","res://textures/objects/activities/administration/map_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Map Table 02","res://textures/objects/activities/administration/map_table_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Map Table Big 01","res://textures/objects/activities/administration/map_table_big_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Paper 01","res://textures/objects/activities/administration/paper_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Paper 02","res://textures/objects/activities/administration/paper_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Paper 03","res://textures/objects/activities/administration/paper_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Paper 04","res://textures/objects/activities/administration/paper_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Paper 05","res://textures/objects/activities/administration/paper_05.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scroll 01","res://textures/objects/activities/administration/scroll_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scroll 02","res://textures/objects/activities/administration/scroll_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scroll 03","res://textures/objects/activities/administration/scroll_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scroll 04","res://textures/objects/activities/administration/scroll_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scroll 05","res://textures/objects/activities/administration/scroll_05.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scroll 06","res://textures/objects/activities/administration/scroll_06.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scroll 07","res://textures/objects/activities/administration/scroll_07.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scroll Bowl 01","res://textures/objects/activities/administration/scroll_bowl_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scroll Bowl 02","res://textures/objects/activities/administration/scroll_bowl_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scroll Bowl 03","res://textures/objects/activities/administration/scroll_bowl_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scroll Bowl 04","res://textures/objects/activities/administration/scroll_bowl_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Bathtub 01","res://textures/objects/activities/bathing/bathtub_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Bathtub 02","res://textures/objects/activities/bathing/bathtub_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Chair Bath","res://textures/objects/activities/bathing/chair_bath.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Soap","res://textures/objects/activities/bathing/soap.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Cutting Boards","res://textures/objects/activities/cooking/cutting_boards.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
